Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Averaged_Sales
33,Pokemon X/Pokemon Y,3DS,2013.00,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,3.688946015
34,Call of Duty: Black Ops 3,PS4,2015.00,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,3.66066838
35,Call of Duty: Black Ops II,PS3,2012.00,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,3.606683805
36,Call of Duty: Black Ops II,X360,2012.00,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,3.529562982
37,Call of Duty: Modern Warfare 2,X360,2009.00,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,3.473007712
38,Call of Duty: Modern Warfare 3,PS3,2011.00,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,3.460154242
39,Grand Theft Auto III,PS2,2001.00,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,3.367609254
40,Super Smash Bros. Brawl,Wii,2008.00,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,3.35218509
41,Call of Duty: Black Ops,PS3,2010.00,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,3.272493573
42,Animal Crossing: Wild World,DS,2005.00,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,3.154241645
43,Mario Kart 7,3DS,2011.00,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,3.138817481
44,Halo 3,X360,2007.00,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,3.120822622
45,Grand Theft Auto V,PS4,2014.00,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,3.079691517
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.00,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,3.059125964
47,Super Mario 64,N64,1996.00,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,3.05655527
48,Gran Turismo 4,PS2,2004.00,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,2.997429306
49,Super Mario Galaxy,Wii,2007.00,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,2.961439589
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.00,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,2.912596401
51,Super Mario Land 2: 6 Golden Coins,GB,1992.00,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,2.87403599
52,Grand Theft Auto IV,X360,2008.00,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2.832904884
53,Gran Turismo,PS,1997.00,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,2.814910026
