Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Averaged_Sales
221,Crash Team Racing,PS,1999.00,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,1.231362468
222,FIFA 17,PS4,2016.00,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,1.22622108
223,Batman: Arkham City,X360,2011.00,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,1.223650386
224,Driver 2,PS,2000.00,Action,Atari,2.36,2.1,0.02,0.25,4.73,1.215938303
225,The Simpsons: Hit & Run,PS2,2003.00,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7,1.208226221
226,Tony Hawk's Pro Skater 2,PS,2000.00,Sports,Activision,3.05,1.41,0.02,0.2,4.68,1.203084833
227,Animal Crossing: City Folk,Wii,2008.00,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,1.203084833
228,The Lord of the Rings: The Two Towers,PS2,2002.00,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,1.200514139
229,Forza Motorsport 4,X360,2011.00,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,1.192802057
230,Tomb Raider,PS,1996.00,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,1.190231362
231,Guitar Hero III: Legends of Rock,Wii,2007.00,Misc,Activision,3.06,1.12,0,0.44,4.62,1.187660668
232,The Legend of Zelda: A Link to the Past,SNES,1991.00,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,1.185089974
233,The Legend of Zelda: The Wind Waker,GC,2002.00,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,1.18251928
234,Mario & Sonic at the Olympic Winter Games,Wii,2009.00,Sports,Sega,1.89,1.99,0.22,0.48,4.58,1.177377892
235,Luigi's Mansion: Dark Moon,3DS,2013.00,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,1.177377892
236,Splatoon,WiiU,2015.00,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57,1.174807198
237,The Last of Us,PS4,2014.00,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55,1.16966581
238,Guitar Hero III: Legends of Rock,X360,2007.00,Misc,Activision,3.19,0.92,0.01,0.42,4.53,1.164524422
239,Madden NFL 2005,PS2,2004.00,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,1.164524422
240,Pitfall!,2600,1981.00,Platform,Activision,4.21,0.24,0,0.05,4.5,1.156812339
241,Madden NFL 07,PS2,2006.00,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,1.154241645
242,Spider-Man: The Movie,PS2,2002.00,Action,Activision,2.71,1.51,0.03,0.23,4.48,1.151670951
243,Dragon Quest VII: Warriors of Eden,PS,2000.00,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,1.149100257
244,Uncharted: The Nathan Drake Collection,PS4,2015.00,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47,1.149100257
246,God of War,PS2,2005.00,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,1.143958869
245,Call of Duty: Advanced Warfare,PS3,2014.00,Shooter,Activision,1.54,1.94,0.19,0.77,4.45,1.143958869
247,Nintendo Land,WiiU,2012.00,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,1.141388175
248,Michael Jackson: The Experience,Wii,2010.00,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42,1.136246787
249,Tony Hawk's Pro Skater 3,PS2,2001.00,Sports,Activision,2.66,1.29,0.01,0.46,4.41,1.133676093
251,The Elder Scrolls IV: Oblivion,X360,2006.00,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39,1.128534704
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.00,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,1.128534704
252,Zelda II: The Adventure of Link,NES,1987.00,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,1.12596401
253,Need for Speed: Most Wanted,PS2,2005.00,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,1.123393316
254,Resistance: Fall of Man,PS3,2006.00,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35,1.118251928
255,Sonic the Hedgehog,GEN,1991.00,Platform,Sega,3.03,0.91,0.26,0.13,4.34,1.115681234
256,Kingdom Hearts II,PS2,2005.00,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,1.11311054
259,Asteroids,2600,1980.00,Shooter,Atari,4,0.26,0,0.05,4.31,1.107969152
260,Fable II,X360,2008.00,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,1.107969152
258,Call of Duty: Advanced Warfare,X360,2014.00,Shooter,Activision,2.75,1.18,0,0.37,4.31,1.107969152
257,FIFA 14,X360,2013.00,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31,1.107969152
261,Halo 5: Guardians,XOne,2015.00,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26,1.095115681
263,Batman: Arkham Asylum,PS3,2009.00,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25,1.092544987
262,Super Mario 3D World,WiiU,2013.00,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25,1.092544987
265,Namco Museum,GBA,2001.00,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24,1.089974293
264,Assassin's Creed: Revelations,PS3,2011.00,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24,1.089974293
266,Metal Gear Solid 3: Snake Eater,PS2,2004.00,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23,1.087403599
267,Daxter,PSP,2006.00,Platform,Sony Computer Entertainment,2.45,1.02,0,0.75,4.22,1.084832905
269,The Legend of Zelda: Ocarina of Time,3DS,2011.00,Action,Nintendo,2.03,1.27,0.62,0.3,4.21,1.082262211
270,FIFA Soccer 06,PS2,2005.00,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,1.082262211
268,Warcraft II: Tides of Darkness,PC,1995.00,Strategy,Activision,1.7,2.27,0,0.23,4.21,1.082262211
271,EyeToy Play,PS2,2003.00,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2,1.079691517
272,Uncharted 4: A Thief's End,PS4,2016.00,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2,1.079691517
273,Gran Turismo 5 Prologue,PS3,2007.00,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2,1.079691517
274,Assassin's Creed: Revelations,X360,2011.00,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,1.077120823
275,Street Fighter IV,PS3,2009.00,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19,1.077120823
276,FIFA 12,X360,2011.00,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19,1.077120823
277,Teenage Mutant Ninja Turtles,NES,1989.00,Action,Palcom,3.38,0.44,0.31,0.04,4.17,1.071979434
279,Frogger,PS,1997.00,Action,Hasbro Interactive,3.79,0.27,0,0.11,4.16,1.06940874
278,Excitebike,NES,1984.00,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,1.06940874
281,Watch Dogs,PS4,2014.00,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14,1.064267352
280,Madden NFL 2003,PS2,2002.00,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,1.064267352
282,Half-Life,PC,1997.00,Shooter,Vivendi Games,4.03,0,0.09,0,4.12,1.059125964
283,Super Mario World 2: Yoshi's Island,SNES,1995.00,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12,1.059125964
284,FIFA Soccer 07,PS2,2006.00,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11,1.05655527
285,The Legend of Zelda: Skyward Sword,Wii,2011.00,Action,Nintendo,2.14,1.2,0.37,0.4,4.1,1.053984576
286,Street Fighter II Turbo,SNES,1992.00,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1,1.053984576
287,Carnival Games,Wii,2007.00,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1,1.053984576
289,World of Warcraft: The Burning Crusade,PC,2007.00,Role-Playing,Activision,2.57,1.52,0,0,4.09,1.051413882
288,Fallout 4,XOne,2015.00,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09,1.051413882
290,Fallout: New Vegas,X360,2010.00,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08,1.048843188
291,God of War II,PS2,2007.00,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,1.046272494
292,Forza Motorsport 2,X360,2007.00,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06,1.043701799
293,World Soccer Winning Eleven 9,PS2,2005.00,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,1.043701799
294,Namco Museum Vol.3,PS,1996.00,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05,1.041131105
295,Tekken Tag Tournament,PS2,2000.00,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,1.041131105
297,Star Fox 64,N64,1997.00,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,1.035989717
296,Far Cry 4,PS4,2014.00,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03,1.035989717
298,Minecraft,PS4,2014.00,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02,1.033419023
299,Golf,NES,1984.00,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,1.030848329
300,Fallout 3,PS3,2008.00,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01,1.030848329
301,Professor Layton and the Diabolical Box,DS,2007.00,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4,1.028277635
302,Left 4 Dead 2,X360,2009.00,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99,1.025706941
303,Namco Museum: 50th Anniversary,PS2,2005.00,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98,1.023136247
304,EA Sports Active,Wii,2009.00,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92,1.007712082
305,Assassin's Creed: Unity,PS4,2014.00,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92,1.007712082
306,Donkey Kong Land,GB,1994.00,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91,1.005141388
307,Tony Hawk's Underground,PS2,2003.00,Sports,Activision,2.29,1.17,0.01,0.42,3.9,1.002570694
309,Monster Hunter 4 Ultimate,3DS,2014.00,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89,1
308,Assassin's Creed IV: Black Flag,PS3,2013.00,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89,1
311,The Elder Scrolls V: Skyrim,PC,2011.00,Role-Playing,Bethesda Softworks,1.15,2.09,0,0.64,3.88,0.997429306
310,MotorStorm,PS3,2006.00,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88,0.997429306
314,Sports Champions,PS3,2010.00,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87,0.994858612
313,Dragon Warrior III,NES,1988.00,Role-Playing,Enix Corporation,0.1,0,3.77,0,3.87,0.994858612
312,Tekken 5,PS2,2005.00,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87,0.994858612
315,NBA 2K16,PS4,2015.00,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85,0.989717224
316,World Soccer Winning Eleven 8 International,PS2,2004.00,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85,0.989717224
317,Flash Focus: Vision Training in Minutes a Day,DS,2007.00,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84,0.98714653
318,Namco Museum Vol.1,PS,1995.00,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84,0.98714653
320,Mario & Luigi: Bowser's Inside Story,DS,2009.00,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83,0.984575835
319,The Legend of Zelda: Link's Awakening,GB,1992.00,Action,Nintendo,2.21,0.96,0.54,0.13,3.83,0.984575835
321,Big Brain Academy: Wii Degree,Wii,2007.00,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82,0.982005141
322,Nintendogs + cats,3DS,2011.00,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81,0.979434447
323,Batman: Arkham Knight,PS4,2015.00,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79,0.974293059
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.00,Sports,Sega,1.14,1.91,0.27,0.46,3.78,0.971722365
325,LEGO Indiana Jones: The Original Adventures,X360,2008.00,Action,Activision,2.4,1.03,0,0.36,3.78,0.971722365
326,Resident Evil Director's Cut,PS,1996.00,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77,0.969151671
327,Ratchet & Clank: Size Matters,PSP,2007.00,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77,0.969151671
329,The Sims: Unleashed,PC,2002.00,Simulation,Electronic Arts,2.03,1.56,0,0.17,3.76,0.966580977
328,Just Dance 2014,Wii,2013.00,Misc,Ubisoft,1.98,1.47,0,0.32,3.76,0.966580977
330,Super Paper Mario,Wii,2007.00,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76,0.966580977
331,Harry Potter and the Sorcerer's Stone,PS,2001.00,Action,Electronic Arts,1.37,2,0.14,0.22,3.73,0.958868895
332,The Witcher 3: Wild Hunt,PS4,2015.00,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56,3.73,0.958868895
333,Resident Evil 3: Nemesis,PS,1999.00,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72,0.956298201
334,Spyro: Year of the Dragon,PS,2000.00,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71,0.953727506
335,FIFA Soccer 2005,PS2,2004.00,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,0.951156812
336,Pokémon Trading Card Game,GB,1998.00,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7,0.951156812
338,MySims,DS,2007.00,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69,0.948586118
337,Battlefield 4,PS3,2013.00,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69,0.948586118
340,Tony Hawk's Pro Skater 4,PS2,2002.00,Sports,Activision,2.13,1.18,0.01,0.35,3.67,0.94344473
339,Friend Collection,DS,2009.00,Misc,Nintendo,0,0,3.67,0,3.67,0.94344473
341,Midnight Club 3: DUB Edition,PSP,2005.00,Racing,Take-Two Interactive,1.65,1.22,0,0.79,3.66,0.940874036
342,Banjo-Kazooie,N64,1998.00,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65,0.938303342
343,SOCOM: U.S. Navy SEALs,PS2,2002.00,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65,0.938303342
344,Guitar Hero: World Tour,Wii,2008.00,Misc,Activision,2.33,0.97,0,0.35,3.65,0.938303342
346,Jak and Daxter: The Precursor Legacy,PS2,2001.00,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64,0.935732648
345,Gran Turismo 6,PS3,2013.00,Racing,Sony Computer Entertainment,0.71,1.8,0.4,0.74,3.64,0.935732648
350,Call of Duty: Ghosts,PS4,2013.00,Shooter,Activision,1.78,1.42,0.05,0.38,3.63,0.933161954
347,Pokemon Snap,N64,1999.00,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63,0.933161954
348,FIFA Soccer 10,PS3,2009.00,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63,0.933161954
349,Pro Evolution Soccer 2008,PS2,2007.00,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63,0.933161954
351,Resident Evil 4,PS2,2005.00,Action,Capcom,2.08,0.83,0.46,0.25,3.62,0.93059126
352,Tom Clancy's The Division,PS4,2016.00,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61,0.928020566
353,Star Wars: Battlefront,PS2,2004.00,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61,0.928020566
354,Doom II: Hell on Earth,PC,1994.00,Shooter,Virgin Interactive,2.05,1.4,0,0.16,3.61,0.928020566
355,The Simpsons: Road Rage,PS2,2001.00,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61,0.928020566
356,Cooking Mama 2: Dinner With Friends,DS,2007.00,Simulation,505 Games,1.61,1.5,0.1,0.39,3.61,0.928020566
357,Luigi's Mansion,GC,2001.00,Action,Nintendo,2.38,0.67,0.46,0.1,3.6,0.925449871
358,Star Wars: Battlefront II,PS2,2005.00,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59,0.922879177
359,WWF SmackDown!,PS,2000.00,Fighting,THQ,2.01,1.35,0.06,0.16,3.58,0.920308483
360,Croc: Legend of the Gobbos,PS,1997.00,Platform,Fox Interactive,1.57,1.79,0,0.2,3.56,0.915167095
363,Tomb Raider III: Adventures of Lara Croft,PS,1997.00,Action,Eidos Interactive,1.66,1.58,0.12,0.18,3.54,0.910025707
361,Grand Theft Auto: Liberty City Stories,PS2,2006.00,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54,0.910025707
362,The Getaway,PS2,2002.00,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54,0.910025707
367,FIFA Soccer 11,X360,2010.00,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53,0.907455013
364,James Bond 007: Agent Under Fire,PS2,2001.00,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53,0.907455013
366,Battlefield 4,X360,2013.00,Shooter,Electronic Arts,2.14,1.08,0.02,0.29,3.53,0.907455013
365,LEGO Star Wars: The Video Game,PS2,2005.00,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53,0.907455013
368,Rugrats in Paris: The Movie,PS,2000.00,Action,THQ,1.96,1.33,0,0.23,3.52,0.904884319
369,Spyro 2: Ripto's Rage!,PS,1999.00,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52,0.904884319
370,Left 4 Dead,X360,2008.00,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52,0.904884319
371,Mario & Sonic at the Olympic Winter Games,DS,2009.00,Sports,Sega,1.22,1.66,0.27,0.38,3.52,0.904884319
372,Resident Evil 5,X360,2009.00,Action,Capcom,2.11,0.94,0.12,0.34,3.51,0.902313625
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996.00,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51,0.902313625
376,Batman: Arkham Asylum,X360,2009.00,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5,0.899742931
377,Clubhouse Games,DS,2006.00,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5,0.899742931
375,Kung Fu,NES,1985.00,Action,Nintendo,1.64,0.38,1.42,0.06,3.5,0.899742931
374,Assassin's Creed: Brotherhood,X360,2010.00,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5,0.899742931
379,Star Wars Battlefront (2015),XOne,2015.00,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49,0.897172237
378,FIFA Soccer 2004,PS2,,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49,0.897172237
380,Battlefield: Bad Company 2,X360,2010.00,Shooter,Electronic Arts,2.09,1.02,0.04,0.32,3.48,0.894601542
381,Guitar Hero: On Tour,DS,2008.00,Misc,Activision,2.11,1.01,0.01,0.35,3.48,0.894601542
382,Assassin's Creed: Unity,XOne,2014.00,Action,Ubisoft,2.26,0.89,0,0.3,3.46,0.889460154
383,Far Cry 3,PS3,2012.00,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45,0.88688946
386,Tekken 4,PS2,2002.00,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44,0.884318766
385,Borderlands,X360,2009.00,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44,0.884318766
384,Monster Hunter 4,3DS,2013.00,Role-Playing,Capcom,0,0,3.44,0,3.44,0.884318766
387,Battlefield 4,PS4,2013.00,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43,0.881748072
388,LittleBigPlanet 2,PS3,2011.00,Platform,Sony Computer Entertainment,1.82,1.07,0.06,0.47,3.42,0.879177378
389,Grand Theft Auto 2,PS,1998.00,Action,Take-Two Interactive,1.13,2.07,0,0.22,3.42,0.879177378
390,Final Fantasy III,SNES,1994.00,Role-Playing,SquareSoft,0.86,0,2.55,0.02,3.42,0.879177378
391,Spider-Man 2,PS2,2004.00,Action,Activision,1.75,1.2,0.02,0.43,3.41,0.876606684
392,F-1 Race,GB,1990.00,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41,0.876606684
393,FIFA Soccer 2003,PS2,2002.00,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4,0.87403599
394,Crash Bash,PS,2000.00,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39,0.871465296
396,Metal Gear Solid V: The Phantom Pain,PS4,2015.00,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38,0.868894602
397,The Legend of Zelda: Spirit Tracks,DS,2009.00,Action,Nintendo,1.43,0.94,0.74,0.27,3.38,0.868894602
395,LEGO Batman: The Videogame,X360,2008.00,Action,Warner Bros. Interactive Entertainment,2.03,1.03,0,0.32,3.38,0.868894602
398,WWF War Zone,PS,1998.00,Fighting,Acclaim Entertainment,2.47,0.76,0,0.13,3.36,0.863753213
399,The Legend of Zelda: Majora's Mask,N64,2000.00,Action,Nintendo,1.9,0.67,0.73,0.06,3.36,0.863753213
400,Professor Layton and the Unwound Future,DS,2008.00,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36,0.863753213
401,Rugrats: Search For Reptar,PS,1998.00,Adventure,THQ,1.63,1.53,0,0.18,3.34,0.858611825
402,Assassin's Creed IV: Black Flag,X360,2013.00,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34,0.858611825
405,Ratchet & Clank,PS2,2002.00,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33,0.856041131
404,James Bond 007: Nightfire,PS2,2002.00,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33,0.856041131
403,English Training: Have Fun Improving Your Skills!,DS,2006.00,Misc,Nintendo,0,0.99,2.32,0.02,3.33,0.856041131
406,Mario Party 9,Wii,2012.00,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32,0.853470437
407,Star Wars Episode III: Revenge of the Sith,PS2,2005.00,Action,LucasArts,1.47,1.39,0.03,0.43,3.32,0.853470437
408,Max Payne,PS2,2001.00,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31,0.850899743
411,Destiny,XOne,2014.00,Shooter,Activision,2.13,0.92,0,0.23,3.28,0.843187661
410,Assassin's Creed Syndicate,PS4,2015.00,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28,0.843187661
409,The Lord of the Rings: The Return of the King,PS2,2003.00,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28,0.843187661
414,Gran Turismo (PSP),PSP,2009.00,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27,0.840616967
413,Wii Music,Wii,2008.00,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27,0.840616967
412,True Crime: Streets of LA,PS2,2003.00,Action,Activision,1.89,1.05,0.02,0.31,3.27,0.840616967
415,Monster Hunter X,3DS,2015.00,Action,Capcom,0.25,0.19,2.78,0.04,3.26,0.838046272
416,Tekken,PS,1995.00,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24,0.832904884
417,FIFA 16,XOne,2015.00,Sports,Electronic Arts,0.88,2.11,0,0.23,3.23,0.83033419
418,L.A. Noire,PS3,2011.00,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23,0.83033419
419,Madden NFL 16,PS4,2015.00,Sports,Electronic Arts,2.33,0.3,0,0.59,3.22,0.827763496
420,Yokai Watch 2 Ganso/Honke,3DS,2014.00,Role-Playing,Nintendo,0.03,0,3.18,0,3.22,0.827763496
421,007: Tomorrow Never Dies,PS,1999.00,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21,0.825192802
423,Killer Instinct,SNES,1995.00,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2,0.822622108
424,WWF SmackDown! 2: Know Your Role,PS,2000.00,Fighting,THQ,1.76,1.21,0.07,0.16,3.2,0.822622108
422,Baseball,NES,1983.00,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,0.822622108
427,Dragon Quest VI: Maboroshi no Daichi,SNES,1995.00,Role-Playing,Enix Corporation,0,0,3.19,0,3.19,0.820051414
428,Dance Central,X360,2010.00,Misc,MTV Games,2.15,0.77,0.01,0.26,3.19,0.820051414
425,Crisis Core: Final Fantasy VII,PSP,2007.00,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19,0.820051414
426,God of War: Chains of Olympus,PSP,2008.00,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19,0.820051414
429,Enter the Matrix,PS2,2003.00,Action,Atari,1.78,1.12,0.09,0.19,3.18,0.81748072
430,Super Mario Maker,WiiU,2015.00,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18,0.81748072
431,Fallout: New Vegas,PS3,2010.00,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17,0.814910026
432,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17,0.814910026
433,Rhythm Heaven,DS,2008.00,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17,0.814910026
434,Ace Combat 04: Shattered Skies,PS2,2001.00,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,0.814910026
435,Club Penguin: Elite Penguin Force,DS,2008.00,Adventure,Disney Interactive Studios,1.88,0.98,0,0.3,3.16,0.812339332
436,Animal Crossing,GC,2001.00,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15,0.809768638
437,LEGO Batman: The Videogame,DS,2008.00,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0,0.29,3.15,0.809768638
438,Sonic Rush,DS,2005.00,Platform,Sega,1.22,1.57,0.06,0.29,3.15,0.809768638
439,Resident Evil 6,PS3,2012.00,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15,0.809768638
440,Halo: The Master Chief Collection,XOne,2014.00,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15,0.809768638
441,FIFA Soccer 08,PS2,2007.00,Sports,Electronic Arts,0.68,0,0,2.46,3.14,0.807197943
442,Spider-Man,PS,2000.00,Action,Activision,1.7,1.25,0.02,0.16,3.13,0.804627249
446,The Elder Scrolls IV: Oblivion,PS3,2007.00,Role-Playing,Ubisoft,1.69,0.87,0.14,0.42,3.12,0.802056555
448,Heavy Rain,PS3,2010.00,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,0.5,3.12,0.802056555
447,Dragon Warrior IV,NES,1990.00,Role-Playing,Enix Corporation,0.08,0,3.03,0.01,3.12,0.802056555
443,Need for Speed III: Hot Pursuit,PS,1998.00,Racing,Electronic Arts,2.14,0.86,0,0.13,3.12,0.802056555
445,Personal Trainer: Cooking,DS,2006.00,Misc,Nintendo,0.91,1,1.03,0.17,3.12,0.802056555
444,Star Wars Episode I Racer,N64,1999.00,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12,0.802056555
449,Mass Effect 2,X360,2010.00,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11,0.799485861
450,FIFA 15,X360,2014.00,Sports,Electronic Arts,0.78,2.02,0,0.3,3.11,0.799485861
